provider,case_id,case_hash,expected,B_answer,B_correct,D_answer,D_correct,O_answer,O_correct,solved_by_both,T_condition,T_answer,T_correct,corrupted_final_label,label_dependence_case,derivation_dependence_case,transmission_survival_case,pure_transmission_loss_case,transmission_rescue_case,failure_family
anthropic_sonnet_4_6,rule_0020,028f0965f81224eb6f1dac19,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0020,028f0965f81224eb6f1dac19,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0020,028f0965f81224eb6f1dac19,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0020,028f0965f81224eb6f1dac19,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0006,05f26001a75318c7df40a854,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0006,05f26001a75318c7df40a854,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0006,05f26001a75318c7df40a854,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0006,05f26001a75318c7df40a854,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0008,07e63b0de76a8b80272d382d,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0008,07e63b0de76a8b80272d382d,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0008,07e63b0de76a8b80272d382d,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0008,07e63b0de76a8b80272d382d,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0000,11de64e986d4aacba3d39208,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0000,11de64e986d4aacba3d39208,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0000,11de64e986d4aacba3d39208,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0000,11de64e986d4aacba3d39208,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_corrupt_final,conflict,True,yes,False,True,True,False,False,
