provider,condition,accuracy
ALL,B,0.5333333333333333
ALL,D,0.7333333333333333
ALL,O,0.7
ALL,T_oracle_corrupt_final,0.8666666666666667
ALL,T_oracle_no_final,0.8666666666666667
ALL,T_oracle_no_final_no_active,0.8
ALL,T_oracle_text,1.0
ALL,eta,
openai_gpt_4_1_mini,B,0.5333333333333333
openai_gpt_4_1_mini,D,0.7333333333333333
openai_gpt_4_1_mini,O,0.7
openai_gpt_4_1_mini,T_oracle_corrupt_final,0.8666666666666667
openai_gpt_4_1_mini,T_oracle_no_final,0.8666666666666667
openai_gpt_4_1_mini,T_oracle_no_final_no_active,0.8
openai_gpt_4_1_mini,T_oracle_text,1.0
openai_gpt_4_1_mini,eta,
